id,gh_post_gps,area_id
1,BS-0253-2959,35
2,BS-9843-7399,2
3,BS-7159-1085,3
4,BS-6614-8245,3
5,BS-5182-3828,15
6,BS-6121-2471,24
7,BS-7254-6021,16
8,BS-1728-6530,33
9,BS-4094-8696,31
10,BS-8342-3087,8
11,BS-6985-1503,8
12,BS-4121-7061,7
13,BS-1857-2430,38
14,BS-5131-7783,4
15,BS-9703-2181,30
16,BS-0706-3032,37
17,BS-4404-9023,4
18,BS-2084-8104,12
19,BS-3700-1024,26
20,BS-9234-2394,8
21,BS-9162-9475,35
22,BS-7999-9442,22
23,BS-7426-8609,25
24,BS-7870-6302,37
25,BS-0769-7818,27
26,BS-2140-6795,5
27,BS-2395-0634,14
28,BS-4802-2494,20
29,BS-8034-7263,36
30,BS-5762-9470,1
31,BS-0273-9882,24
32,BS-3201-1840,9
33,BS-1510-8646,17
34,BS-8597-4574,6
35,BS-6939-4846,8
36,BS-6874-5727,24
37,BS-3402-0417,1
38,BS-7670-8465,29
39,BS-8611-7423,36
40,BS-6027-0066,25
41,BS-2150-7677,22
42,BS-3925-6902,27
43,BS-8520-9186,30
44,BS-0900-9607,11
45,BS-8647-9985,9
46,BS-4529-9808,19
47,BS-9510-0761,36
48,BS-4575-7656,12
49,BS-6899-2843,15
50,BS-2905-3207,17
51,BS-8905-8158,12
52,BS-5046-6084,29
53,BS-3714-2115,27
54,BS-9999-4496,22
55,BS-8238-3529,15
56,BS-8808-9087,12
57,BS-1351-6090,36
58,BS-4935-8748,36
59,BS-6557-0076,19
60,BS-9194-4530,23
61,BS-8327-2908,36
62,BS-9611-2788,34
63,BS-6879-6708,25
64,BS-6337-1978,36
65,BS-4168-2578,37
66,BS-3692-5724,9
67,BS-0764-9000,26
68,BS-0019-5749,10
69,BS-1087-3362,5
70,BS-9086-0065,13
71,BS-6024-8605,28
72,BS-1803-3467,25
73,BS-5486-3961,26
74,BS-4749-2928,12
75,BS-3269-5975,33
76,BS-1460-8909,27
77,BS-6645-3037,17
78,BS-5471-6529,13
79,BS-1624-1079,22
80,BS-0240-1349,18
81,BS-4560-0078,10
82,BS-1869-0232,37
83,BS-0376-1115,6
84,BS-8908-8987,7
85,BS-3212-2452,8
86,BS-1548-0694,5
87,BS-7812-5778,38
88,BS-6778-8016,30
89,BS-4690-0064,33
90,BS-3443-6163,34
91,BS-9361-1912,8
92,BS-3222-9649,1
93,BS-1159-9428,25
94,BS-6053-2723,8
95,BS-9482-8148,11
96,BS-6929-9190,33
97,BS-8829-7199,1
98,BS-9292-4270,16
99,BS-5272-5554,27
100,BS-3669-7214,27
101,BS-6032-5073,30
102,BS-7390-6791,30
103,BS-5331-2067,37
104,BS-7379-5807,37
105,BS-7686-7768,9
106,BS-8753-8512,1
107,BS-8395-2229,23
108,BS-8484-7632,9
109,BS-0027-6486,23
110,BS-0383-0966,37
111,BS-1745-9099,19
112,BS-8184-7182,10
113,BS-7420-4492,15
114,BS-7588-4983,22
115,BS-3294-0701,9
116,BS-5285-6484,16
117,BS-6695-4473,10
118,BS-1732-7026,16
119,BS-2317-5656,8
120,BS-0709-4138,27
121,BS-0239-9543,35
122,BS-0220-9985,31
123,BS-6064-8730,35
124,BS-4197-4017,16
125,BS-8148-1801,26
126,BS-5447-1334,33
127,BS-6372-5189,38
128,BS-1767-7864,36
129,BS-4611-5187,6
130,BS-2636-5591,36
131,BS-8980-4435,6
132,BS-6424-1258,23
133,BS-4516-0802,2
134,BS-5990-3258,29
135,BS-1372-4271,21
136,BS-4613-7320,24
137,BS-1581-0552,8
138,BS-8531-2778,34
139,BS-0116-1756,14
140,BS-1331-2694,26
141,BS-3192-3365,16
142,BS-3495-4205,2
143,BS-6579-5219,38
144,BS-8036-3903,28
145,BS-7527-9970,36
146,BS-3116-7741,38
147,BS-6193-0402,35
148,BS-4949-6799,5
149,BS-9487-3834,1
150,BS-3334-7514,4
151,BS-0307-7422,17
152,BS-4628-1079,4
153,BS-1128-2484,5
154,BS-6986-8448,22
155,BS-4878-1800,7
156,BS-5671-5308,13
157,BS-6202-6892,11
158,BS-0294-6652,31
159,BS-7626-9697,8
160,BS-4043-0757,22
161,BS-0602-3186,9
162,BS-6922-7025,5
163,BS-4428-9652,17
164,BS-7762-2828,17
165,BS-0875-3684,12
166,BS-3710-4016,32
167,BS-8945-6921,31
168,BS-7607-5259,10
169,BS-7884-1501,15
170,BS-6724-4034,25
171,BS-4005-5065,31
172,BS-9615-9358,10
173,BS-4381-0003,13
174,BS-6273-1687,7
175,BS-3627-6529,19
176,BS-4698-1845,17
177,BS-3896-8545,16
178,BS-3601-7598,16
179,BS-7970-8689,9
180,BS-8972-7968,12
181,BS-0894-2541,23
182,BS-0181-7586,11
183,BS-8273-3062,37
184,BS-2976-6409,27
185,BS-2838-1953,1
186,BS-6585-1387,19
187,BS-0399-8601,35
188,BS-6551-5676,19
189,BS-5767-4561,1
190,BS-9924-2087,25
191,BS-6172-1951,32
192,BS-5173-2644,16
193,BS-6581-4185,11
194,BS-5615-1180,12
195,BS-2267-3770,12
196,BS-7130-9436,18
197,BS-4658-8782,19
198,BS-7870-7610,24
199,BS-9193-9550,12
