id,name
1,Sunyani
2,Abesim
3,New Dormaa
4,Area 2
5,Area 4
6,Zongo
7,Atronie
8,Asuakwa
9,Asufufu
10,Baakoniaba
11,Kotokrom
12,New Town
13,Nkwabeng
14,Watchman
15,Educational zone
16,Mireku
17,Gyaase
18,Dominase
19,Penkwase West
20,Tonsuom
21,Nwawasua
22,Sunyanitifi
23,Yawsae
24,Penkwase East
25,Nkrankrom
26,Magazine
27,Ankobea
28,Ahenboboano
29,Atoase
30,Atuahne
31,Antwikrom-Benu Nkwanta
32,Abetifi
33,Airport
34,Nkwabeng North
35,Akuoko
36,Akokorakwadwo
37,Lowcost
38,Abonsuam
